Date,Affected pages
2026-05-14,76
2026-05-15,76
2026-05-16,76
2026-05-17,76
2026-05-18,79
2026-05-19,79
2026-05-20,79
2026-05-21,79
2026-05-22,79
2026-05-23,79
2026-05-24,79
2026-05-25,79
2026-05-26,79
2026-05-27,79
2026-05-28,79
2026-05-29,85
2026-05-30,85
2026-05-31,85
2026-06-01,92
2026-06-02,92
2026-06-03,92
2026-06-04,92
2026-06-05,93
2026-06-06,93
2026-06-07,93
2026-06-08,96
2026-06-09,96
2026-06-10,96
2026-06-11,96
2026-06-12,97
2026-06-13,97
2026-06-14,97
2026-06-15,97
2026-06-16,97
2026-06-17,97
2026-06-18,97
2026-06-19,97
2026-06-20,97
2026-06-21,97
2026-06-22,97
2026-06-23,97
2026-06-24,97
2026-06-25,97
2026-06-26,97
2026-06-27,97
2026-06-28,97
2026-06-29,97
2026-06-30,95
2026-07-01,95
2026-07-02,95
2026-07-03,95
2026-07-04,95
2026-07-05,95
2026-07-06,95
2026-07-07,95
2026-07-08,95
2026-07-09,95
2026-07-10,114
2026-07-11,114
2026-07-12,114
2026-07-13,114
2026-07-14,114
2026-07-15,114
2026-07-16,114
2026-07-17,114
2026-07-18,114
2026-07-19,114
2026-07-20,114
2026-07-21,114
2026-07-22,114
2026-07-23,114
2026-07-24,115
2026-07-25,115
2026-07-26,115
2026-07-27,115
2026-07-28,115
2026-07-29,115
2026-07-30,115
2026-07-31,115
2026-08-01,115
2026-08-02,115
2026-08-03,115
2026-08-04,115
2026-08-05,116
2026-08-06,116
